,language
1613,English
1614,Dutch
1615,English
1616,French
1617,French
1618,French
1619,French
1620,French
1621,English
1622,English
1623,French
1624,English
1625,French
1626,French
1627,English
1628,English
1629,French
1630,French
1631,French
1632,French
1633,English
1634,English
1635,French
1636,French
1637,French
1638,German
1639,English
1640,Dutch
1641,French
1642,French
1643,French
1644,French
1645,French
1646,English
1647,French
1648,French
1649,English
1650,English
1651,English
1652,French
1653,French
1654,French
1655,French
1656,French
1657,French
1658,French
1659,English
1660,French
1661,English
1662,French
1663,Dutch
1664,German
1665,French
1666,French
1667,French
1668,French
1669,French
1670,French
1671,French
1672,French
1673,French
1674,French
1675,French
1676,French
1677,French
1678,French
1679,English
1680,English
1681,French
1682,French
1683,French
1684,Dutch
1685,German
1686,French
1687,French
1688,English
1689,English
1690,English
1691,French
1692,French
1693,French
1694,French
1695,French
1696,French
1697,French
1698,French
1699,French
1700,English
1701,English
1702,French
1703,French
1704,French
1705,French
1706,French
1707,English
1708,French
1709,French
1710,French
1711,French
1712,English
1713,French
1714,French
1715,French
1716,French
1717,French
1718,English
1719,French
1720,French
1721,English
1722,French
1723,French
1724,French
1725,English
1726,English
1727,English
1728,French
1729,French
1730,French
1731,French
1732,Dutch
1733,Dutch
1734,French
1735,French
1736,French
1737,French
1738,French
1739,French
1740,French
1741,English
1742,English
1743,Dutch
1744,French
1745,English
1746,English
1747,English
1748,French
1749,Dutch
1750,Dutch
1751,English
1752,English
1753,French
1754,English
1755,English
1756,English
1757,French
1758,French
1759,English
1760,English
1761,English
1762,Dutch
1763,French
1764,Dutch
1765,French
1766,French
1767,Dutch
1768,French
1769,French
1770,French
1771,French
1772,French
1773,French
1774,French
1775,French
1776,French
1777,Dutch
1778,French
1779,French
1780,English
1781,Dutch
1782,English
1783,English
1784,Dutch
1785,French
1786,German
1787,French
1788,Dutch
1789,Dutch
1790,English
1791,French
1792,French
1793,French
1794,Dutch
1795,French
1796,French
1797,French
1798,French
1799,French
1800,French
1801,French
1802,French
1803,French
1804,French
1805,Dutch
1806,Dutch
1807,French
1808,Dutch
1809,French
1810,French
1811,French
1812,French
1813,French
1814,French
1815,Dutch
1816,Dutch
1817,Dutch
1818,French
1819,French
1820,French
1821,French
1822,French
1823,French
1824,French
1825,French
1826,Dutch
1827,French
1828,English
1829,English
1830,English
1831,English
1832,French
1833,French
1834,French
1835,English
1836,English
1837,Dutch
1838,English
1839,French
1840,French
1841,French
1842,German
1843,English
1844,English
1845,French
1846,Dutch
1847,Dutch
1848,Dutch
1849,Dutch
1850,Dutch
1851,French
1852,English
1853,French
1854,Dutch
1855,French
1856,English
1857,English
1858,French
1859,Dutch
1860,French
1861,French
1862,French
1863,French
1864,French
1865,French
1866,French
1867,French
1868,French
1869,English
1870,English
1871,English
1872,English
1873,English
1874,English
1875,English
1876,French
1877,French
1878,English
1879,French
1880,French
1881,French
1882,Dutch
1883,Dutch
1884,French
1885,Dutch
1886,English
1887,French
1888,French
1889,French
1890,French
